episode_number,date_episode_published,data_set,year_elligible_for_best_of,duration_in_minutes,episode_type,episode_title,guests_and_characters_from_wikipedia_semicolon_delimited,synopsis_and_segments,fandom_wikia_suffix,best_of_rank,weight_flat,weight_inverse,weight_linear,is_on_best_of_boolean
631,2019-12-09,training,2020,91,regular,What Are the Coordinates?,Rekha Shankar as herself and Giuseppe Spaghetti;Mary Holland as Sarah Lastnum;Jimmy Fowlie as Chris Creen,,https://comedybangbang.fandom.com/wiki/What_Are_The_Coordinates%3F,,1.0,0.333,0.831,FALSE
632,2019-12-16,training,2020,157,hoilday,2019 Holiday Spectacular,Electric Guest;Jason Mantzoukas;Jon Gabrus as Gino Lombardo;Lauren Lapkus as Todd;Shaun Diston as Sprague the Whisperer;Tim Baltz as Darren Matichek;Lily Sullivan as Tracy M.;Will Hines as Stanley Chamberlin;Zeke Nicholson as Étouffée;Paul F. Tompkins as Santa Claus;Zach Reino as Dash Grabum;Carl Tart as Harland Haywood;Drew Tarver as Brantley Aldean,,https://comedybangbang.fandom.com/wiki/2019_Holiday_Spectacular,1,1.0,0.333,0.831,TRUE
633,2020-01-06,training,2020,67,regular,"Forky On Top, Porky On The Bottom","Ben Schwartz;Horatio Sanz as himself, Piggy Sorebacks, and Coco Marx",,"https://comedybangbang.fandom.com/wiki/Forky_On_Top,_Porky_On_The_Bottom",,1.0,0.333,0.831,FALSE
634,2020-01-13,training,2020,69,regular,"Wainscotting, Entree P. Neur & Italiano Jones",David Wain;Ego Nwodim as Entrée PeeE Neur and Sharon;Carl Tart as Italiano Jones,,"https://comedybangbang.fandom.com/wiki/Wainscotting,_Entree_P._Neur_%26_Italiano_Jones",14,1.0,0.333,0.831,TRUE
635,2020-01-16,training,2020,79,regular,Peanut Time Machine,Rob Huebel;Erinn Hayes;Jonathan Braylock as George Washington Carver;Jerah Milligan as Lusciously;James III as Marcus Tanner,,https://comedybangbang.fandom.com/wiki/Peanut_Time_Machine,,1.0,0.333,0.831,FALSE
636,2020-01-20,training,2020,64,regular,Hamburger Spider,Kristian Bruun as himself and Mary Ford;Ben Rodgers as Rusell Karate;Lisa Gilroy as Nana Aukerman,,https://comedybangbang.fandom.com/wiki/Hamburger_Spider,,1.0,0.333,0.831,FALSE
637,2020-01-27,training,2020,76,regular,"Moshe Rock, Lord Andrew Lloyd Webber & Jim the Shim","Moshe Kasher;Paul F. Tompkins as Lord Andrew Lloyd Webber, Alimony Tony, and Dame Judi Dench;Tawny Newsome as Jim the Shim/Lord Andrew Lloyd Webber and Rum Tum Tugger",,"https://comedybangbang.fandom.com/wiki/Moshe_Rock,_Lord_Andrew_Lloyd_Webber_%26_Jim_the_Shim",,1.0,0.333,0.831,FALSE
638,2020-02-03,training,2020,83,regular,One Last Heist,Jason Mantzoukas;Shaun Diston as Bullets Jackson;Tim Baltz as Antonio Lambrinidis,,https://comedybangbang.fandom.com/wiki/One_Last_Heist,2,1.0,0.333,0.831,TRUE
639,2020-02-10,training,2020,66,regular,The Becky Button,Andy Samberg;Nick Kroll;Lily Sullivan as Becky and Shannon,,https://comedybangbang.fandom.com/wiki/The_Becky_Button,,1.0,0.333,0.831,FALSE
640,2020-02-13,training,2020,81,regular,Solo Bolo Sonicolo,Ben Schwartz,Riddle Me This; Pitch a Sitsong; Solo Bolo Olympic Song Challenge,https://comedybangbang.fandom.com/wiki/Solo_Bolo_Sonicolo,,1.0,0.333,0.831,FALSE
641,2020-02-17,training,2020,75,regular,Not My Aunt,Adam Cayton-Holland;Jessica McKenna as Sherry Barrels;Zach Reino as Dash Grabum,,https://comedybangbang.fandom.com/wiki/Not_My_Aunt,,1.0,0.333,0.831,FALSE
642,2020-02-24,training,2020,79,regular,Chicago Chaperone,Jimmy Pardo;Niccole Thurman as Crystal Del Rey Jenner;Matt Apodaca as Albert Roe,,https://comedybangbang.fandom.com/wiki/Chicago_Chaperone,,1.0,0.333,0.831,FALSE
643,2020-03-02,training,2020,73,regular,The Order of the Keepers,Neil Campbell as The Time Keeper;Paul F. Tompkins as JW Stillwater,,https://comedybangbang.fandom.com/wiki/The_Order_of_the_Keepers,3,1.0,0.333,0.831,TRUE
644,2020-03-09,training,2020,85,regular,Fall Olympics,Jon Gabrus as Gino Lombardo;DArcy Carden as Chris Starbo;Brandon Scott Jones as Chris Starbo;Dan Lippert as Bill Walton,,https://comedybangbang.fandom.com/wiki/Fall_Olympics,13,1.0,0.333,0.831,TRUE
645,2020-03-16,training,2020,76,regular,Jack FM Bumpers,Matt Braunger;Will Hines as Lester Brads;Brad Evans as Murf;Nick Ciarelli as Dirt,Would You Rather,https://comedybangbang.fandom.com/wiki/Jack_FM_Bumpers,,1.0,0.333,0.831,FALSE
646,2020-03-23,training,2020,92,regular,Ninja Nordstrom,Shaun Diston as Sprague the Whisperer;Lily Sullivan as Sabrina;Jacob Wysocki as Griff Hedgley,,https://comedybangbang.fandom.com/wiki/Ninja_Nordstrom,15,1.0,0.333,0.831,TRUE
647,2020-03-30,training,2020,97,regular,Steak My Day,Paul F. Tompkins as Burnt Millipede;Nicole Parker as Joan Pedestrian;Ryan Gaul as Dickie Carolines,,https://comedybangbang.fandom.com/wiki/Steak_My_Day,,1.0,0.333,0.831,FALSE
648,2020-04-06,training,2020,78,regular,Door-to-door Doors,Alan Yang;Lauren Lapkus as Todd;Mike Castle as Gigantic Dan,,https://comedybangbang.fandom.com/wiki/Door-to-door_Doors,,1.0,0.333,0.831,FALSE
649,2020-04-09,training,2020,68,regular,Goose Tycoon,Jon Gabrus as Gino Lombardo;Ego Nwodim as Entrée PeeE Neur;Carl Tart as O. J. Simpson;Drew Tarver as Roger Peculiar,,https://comedybangbang.fandom.com/wiki/Goose_Tycoon,5,1.0,0.333,0.831,TRUE
650,2020-04-13,training,2020,83,regular,Bun Gun and a Hot Dog Bullet,"Jason Mantzoukas;Andy Daly as Dalton Wilcox, August Lindt, and Hot Dog",,https://comedybangbang.fandom.com/wiki/Bun_Gun_And_A_Hot_Dog_Bullet,4,1.0,0.333,0.831,TRUE
651,2020-04-20,training,2020,79,regular,Pirates Never Lie,"Thomas Middleditch as himself, Captain Littlemember, and Still Tantin;Ben Schwartz as himself, Squawks, and Bill Rantin",,https://comedybangbang.fandom.com/wiki/Pirates_Never_Lie,,1.0,0.333,0.831,FALSE
652,2020-04-27,training,2020,62,regular,Virtual Styling,Jonathan Van Ness;Edi Patterson as Bean Dip;Tawny Newsome as Auntie Renee;Tim Baltz as Joel Spanaducci,,https://comedybangbang.fandom.com/wiki/Virtual_Styling,,1.0,0.333,0.831,FALSE
653,2020-05-04,training,2020,100,anniversary,The 11th Anniversary Show!,Jason Mantzoukas;Paul F. Tompkins as Brock Lovett;Jon Gabrus as Gino Lombardo;Lily Sullivan as Francesca Bolognese;Carl Tart as Roland Gift;Ego Nwodim as Dairy Queen,,https://comedybangbang.fandom.com/wiki/The_11th_Anniversary_Show!,7,1.0,0.333,0.831,TRUE
654,2020-05-11,training,2020,79,regular,LasSie is Benji,Rhys Darby;Paul F. Tompkins as Alimony Tony;Matt Apodaca as Albert Roe,,https://comedybangbang.fandom.com/wiki/LasSie_is_Benji,,1.0,0.333,0.831,FALSE
655,2020-05-18,training,2020,76,regular,Zoom Gloom,David Spade;Lauren Lapkus as Big Sue;Seth Morris as Bob Ducca,,https://comedybangbang.fandom.com/wiki/Zoom_Gloom,,1.0,0.333,0.831,FALSE
656,2020-05-21,training,2020,61,takeover,A Bonanas for Bonanza Takeover,Andy Daly as Dalton Wilcox;Maria Bamford as Amy Sleeverson;Matt Gourley as Mutt Taylor,,https://comedybangbang.fandom.com/wiki/A_Bonanas_for_Bonanza_Takeover,,1.0,0.333,0.831,FALSE
657,2020-05-25,training,2020,68,regular,"Space Forts, Baby!",Ben Schwartz as himself and Genzer Smartz;Tawny Newsome as herself and Genevieve Smartz;Dan Lippert as Seth Berkowitz,,"https://comedybangbang.fandom.com/wiki/Space_Forts,_Baby!",,1.0,0.333,0.831,FALSE
658,2020-06-01,training,2020,83,regular,AcroBATics,Myq Kaplan;Mike Hanford as John Lennon;Jessica McKenna as Dagmar the Small,,https://comedybangbang.fandom.com/wiki/AcroBATics,,1.0,0.333,0.831,FALSE
659,2020-06-08,training,2020,76,regular,Hubba Hubba Punch Up,Judd Apatow;Edi Patterson as Bean Dip;Ego Nwodim as Tony Wyoming;Ben Rodgers as Dar the Beast Master,,https://comedybangbang.fandom.com/wiki/Hubba_Hubba_Punch_Up,,1.0,0.333,0.831,FALSE
660,2020-06-15,training,2020,85,regular,Beer with Judy Greer Award,Judy Greer;Shaun Diston as Sprague the Whisperer;Will Hines as Buck Reilly,,https://comedybangbang.fandom.com/wiki/Beer_with_Judy_Greer_Award,,1.0,0.333,0.831,FALSE
661,2020-06-22,training,2020,66,regular,The Moser Trio,Paul F. Tompkins as Chejff Moser;Carl Tart as Heepe Moser;Tim Baltz as Pastor Peter Pool Boy,,https://comedybangbang.fandom.com/wiki/The_Moser_Trio,12,1.0,0.333,0.831,TRUE
662,2020-06-29,training,2020,68,regular,The Robbies,Rory Scovel as himself and Chester Tumphrie;Sasheer Zamata as herself and Tyler Wiffle;Mary Holland as herself and Francis Stork,,https://comedybangbang.fandom.com/wiki/The_Robbies,,1.0,0.333,0.831,FALSE
663,2020-07-06,training,2020,73,regular,P.A.I.G.E. Is Magic,John Hodgman;David Rees;Paul F. Tompkins as Jill Noll the Magic Doll;Matt Gourley as P.A.I.G.E.,,https://comedybangbang.fandom.com/wiki/P.A.I.G.E._Is_Magic,10,1.0,0.333,0.831,TRUE
664,2020-07-13,training,2020,78,regular,"YouTube, Show Me Haircut",Langston Kerman;Heidi Gardner as Erica;Zac Oyama as Douglas Speaker,,"https://comedybangbang.fandom.com/wiki/YouTube,_Show_Me_Haircut",,1.0,0.333,0.831,FALSE
665,2020-07-20,training,2020,70,regular,Half a Hartnett,Jim Gaffigan;Lily Sullivan as Amber Lee Tots;Ego Nwodim as QuaranTina Turner,,https://comedybangbang.fandom.com/wiki/Half_a_Hartnett,,1.0,0.333,0.831,FALSE
666,2020-07-27,training,2020,67,regular,You Get It?,Yassir Lester;Edi Patterson as Bean Dip;Ryan Gaul as Douglas Gropes;Nick Wiger as Leo Carpazzi,,https://comedybangbang.fandom.com/wiki/You_Get_It%3F,,1.0,0.333,0.831,FALSE
667,2020-08-03,training,2020,78,regular,Andy Samberg Is Not Family,Andy Samberg;Mike Hanford as himself and John Lennon;Tim Kalpakis;Jefferson Dutton;Will Hines as Barry Sams,,https://comedybangbang.fandom.com/wiki/Andy_Samberg_Is_Not_Family,,1.0,0.333,0.831,FALSE
668,2020-08-10,training,2020,111,regular,Four Siblings,June Diane Raphael;Paul F. Tompkins as Charlie Burgey Sullenberger;Jacquis Neal as Bishop R.L. Bakes,,https://comedybangbang.fandom.com/wiki/Four_Siblings,,1.0,0.333,0.831,FALSE
669,2020-08-17,training,2020,69,regular,Star Trek,"Jack Quaid as himself, Dash Griswold, and Jeff;Eugene Cordero as himself and Jazz Jazz;Tawny Newsome as herself and Cast Iron",,https://comedybangbang.fandom.com/wiki/Star_Trek:_Upper_Decker,,1.0,0.333,0.831,FALSE
670,2020-08-24,training,2020,66,regular,The Meet Heads,Kyle Bornheimer;Carl Tart as Jerone Buckethat;Lily Sullivan as Trish Maxwell,,https://comedybangbang.fandom.com/wiki/The_Meet_Heads,,1.0,0.333,0.831,FALSE
671,2020-08-31,training,2020,69,regular,Married Thespians,Patton Oswalt;Mike OBrien as himself and Bob Wessex;Mary Sohn as herself and Cherilyn Wessex,,https://comedybangbang.fandom.com/wiki/Married_Thespians,,1.0,0.333,0.831,FALSE
672,2020-09-07,training,2020,73,regular,Busy Burgeys,Busy Philipps;Ego Nwodim as Tricia Seawater;Paul F. Tompkins as Charlie Burgey Sullenberger;Dan Lippert as Burgey Sullenberger,,https://comedybangbang.fandom.com/wiki/Busy_Burgeys,16,1.0,0.333,0.831,TRUE
673,2020-09-14,training,2020,69,regular,The Grax Apology Tour,"Eliza Skinner;Joe Wengert as Grax, Eater of Worlds;Matt Apodaca as Jefferson Milkyway",,https://comedybangbang.fandom.com/wiki/The_Grax_Apology_Tour,,1.0,0.333,0.831,FALSE
674,2020-09-21,training,2020,87,regular,Canon Relapse,Shaun Diston as Rudi North;Tim Baltz as Darren Matichek;Edgar Momplaisir as Jerry Major;Paul F. Tompkins as Cake Boss,,https://comedybangbang.fandom.com/wiki/Canon_Relapse,11,1.0,0.333,0.831,TRUE
675,2020-09-28,training,2020,76,regular,Clothing Sausages,Arden Myrin;Lauren Lapkus as Shaden Gallbreath;Brian Jordan Alvarez as Emil,,https://comedybangbang.fandom.com/wiki/Clothing_Sausages,,1.0,0.333,0.831,FALSE
676,2020-10-05,training,2020,77,regular,Juice on Juice,Nick Thune;Jon Gabrus as Gino Lombardo;Lily Sullivan as Francesca Bolognese;Ben Rodgers as Dale Creamy,,https://comedybangbang.fandom.com/wiki/Juice_on_Juice,,1.0,0.333,0.831,FALSE
677,2020-10-12,training,2020,97,regular,The Calvins Family Telethon Extravaganza,"Taran Killam as Bever Hopox, Dylan Preeches, Michael Cera, Bronx Girl, Minnesota Guy, Surfer Dude, Coroner, and The Taffy God;Paul Brittain as Chico Hands, Brian Fun, Bronx Guy, and Minnesota Girl;Ryan Gaul as Bisby St. Hancock",,https://comedybangbang.fandom.com/wiki/The_Calvins_Family_Telethon_Extravaganza,6,1.0,0.333,0.831,TRUE
678,2020-10-19,training,2020,71,regular,The Heimlich Remix,Steve Byrne;Jimmy O. Yang;Drew Tarver as Henry Heimlich;Katie Rich as JoJo Benassi,,https://comedybangbang.fandom.com/wiki/The_Heimlich_Remix,,1.0,0.333,0.831,FALSE
679,2020-10-26,training,2020,82,regular,Popcorn World,Gillian Jacobs;Paul F. Tompkins as Alimony Tony;Carl Tart as Orville Redenbacher,,https://comedybangbang.fandom.com/wiki/Popcorn_World,8,1.0,0.333,0.831,TRUE
680,2020-11-02,training,2020,75,regular,Small Claims Cyborg,Jason Mantzoukas;Thomas Middleditch as himself and Gino Carpuzzi,,https://comedybangbang.fandom.com/wiki/Small_Claims_Cyborg,9,1.0,0.333,0.831,TRUE
681,2020-11-09,training,2020,62,regular,Bard and Switch with Aunty Donna,Broden Kelly as himself and Mr. Monroe;Zachary Ruane as himself and Mario;Mark Bonanno as himself and Salvatore Michelangelo,,https://comedybangbang.fandom.com/wiki/Bard_and_Switch_with_Aunty_Donna,,1.0,0.333,0.831,FALSE
682,2020-11-16,training,2020,77,regular,Colin Quinns Dream Presentation,Colin Quinn;Jessica McKenna as Margery Kershaw;Will Hines as Morpheus the Dream Lord,,https://comedybangbang.fandom.com/wiki/Colin_Quinn%27s_Dream_Presentation,,1.0,0.333,0.831,FALSE
683,2020-11-23,training,2020,79,regular,Sidewalk in the Desert,Kulap Vilaysack;SuChin Pak;Ego Nwodim as Ana Conda;Madeline Walter as Mary Berry,,https://comedybangbang.fandom.com/wiki/Sidewalk_in_the_Desert,,1.0,0.333,0.831,FALSE
684,2020-11-30,training,2021,76,regular,Road Toad,"Natalie Palamides as herself, Alex, and Luke Walton;Drew Tarver as Jeff;Ryan Rosenberg as Mike;Dan Lippert as Bill Walton;Jon Mackey as Wade Boggs",,https://comedybangbang.fandom.com/wiki/Road_Toad,,1.0,0.500,0.900,FALSE
685,2020-12-07,training,2021,73,regular,The Fix-It Guys,Paul Rust as himself and Clev;Neil Campbell as himself and Gary,,https://comedybangbang.fandom.com/wiki/The_Fix-It_Guys,,1.0,0.500,0.900,FALSE
686,2020-12-14,training,2021,156,hoilday,2020 Holiday Spectacular,Jason Mantzoukas;Paul F. Tompkins as Santa Claus;Andy Daly as August Lindt;Jon Gabrus as Gino Lombardo;Lauren Lapkus as Ho Ho the Naughty Elf;Ego Nwodim as The Kid Who Saw Mommy Kissing Santa Claus;Carl Tart as The Chief;Lily Sullivan as Nookie;Tim Baltz as Tootie;Shaun Diston as Sprague the Whisperer;Dan Lippert as Frankenstein,,https://comedybangbang.fandom.com/wiki/2020_Holiday_Spectacular,5,1.0,0.500,0.900,TRUE
687,2021-01-04,training,2021,73,regular,Full Grown Grogu,"Ben Schwartz as himself, Chaniel Leftrowbottom, and Bobby Knuts;Horatio Sanz as himself, Skip Weller, and Shelly Driftwood",,https://comedybangbang.fandom.com/wiki/Full_Grown_Grogu,,1.0,0.500,0.900,FALSE
688,2021-01-11,training,2021,78,regular,The Sugarhill Gang Museum,Edi Patterson as Bean Dip;Paul F. Tompkins as Cal Solomon,,https://comedybangbang.fandom.com/wiki/The_Sugarhill_Gang_Museum,10,1.0,0.500,0.900,TRUE
689,2021-01-18,training,2021,76,regular,Marketing Mine Own Selfowitz,Jake Fogelnest;Dan Lippert as Seth Berkowitz;Lyric Lewis as Shell,,https://comedybangbang.fandom.com/wiki/Marketing_Mine_Own_Selfowitz,,1.0,0.500,0.900,FALSE
690,2021-01-25,training,2021,84,regular,Spices On Your Meat,Mary Lynn Rajskub;Ego Nwodim as Mrs. Dash;Carl Tart as Mr. Dash;Ben Rodgers as Bud Frakely,,https://comedybangbang.fandom.com/wiki/Spices_On_Your_Meat,,1.0,0.500,0.900,FALSE
691,2021-02-01,training,2021,84,regular,#NoStank,Tim Baltz as Randy Snutz;Shaun Diston as Mike Ruby;Lily Sullivan as Diana Deep,,https://comedybangbang.fandom.com/wiki/NoStank,3,1.0,0.500,0.900,TRUE
692,2021-02-08,training,2021,99,regular,"Chalke Talk, Structure-A-Stuffy & Tunt",Sarah Chalke;Paul F. Tompkins as Bill Eikenberry;Katie Rich as Deb Tunt,,"https://comedybangbang.fandom.com/wiki/Chalke_Talk,_Structure-A-Stuffy_%26_Tunt",,1.0,0.500,0.900,FALSE
693,2021-02-15,training,2021,80,regular,Kissys Prime,London Hughes;Will Hines as Ruben Stone;Matt Apodaca as Albert Roe,,https://comedybangbang.fandom.com/wiki/Kissy%27s_Prime,,1.0,0.500,0.900,FALSE
694,2021-02-22,training,2021,80,regular,Thunder Bucket,Adam Brody;Ryan Gaul as Gary Candles;Madeline Walter as Tina,,https://comedybangbang.fandom.com/wiki/Thunder_Bucket,,1.0,0.500,0.900,FALSE
695,2021-03-01,training,2021,73,regular,Spinning Fidgets & Hunting Bounties with Teen #2,Kelly Marie Tran;Kulap Vilaysack;Jessica McKenna as Chrysanthemum Tummers;Zach Reino as Eli Fuseli,,https://comedybangbang.fandom.com/wiki/Spinning_Fidgets_%26_Hunting_Bounties_with_Teen#2,,1.0,0.500,0.900,FALSE
696,2021-03-08,training,2021,90,regular,Rather Good,Gillian Jacobs;Diona Reasonover;Paul F. Tompkins as Al A. Peterson;Neil Campbell as Alister Brown,,https://comedybangbang.fandom.com/wiki/Rather_Good,1,1.0,0.500,0.900,TRUE
697,2021-03-15,training,2021,81,regular,Good News for Boobs,Fortune Feimster;Dan Lippert as Bill Walton;Jacquis Neal as Jacquis Robinson,,https://comedybangbang.fandom.com/wiki/Good_News_for_Boobs,,1.0,0.500,0.900,FALSE
698,2021-03-22,training,2021,66,regular,Horse Meat Paninis,Thomas Lennon;Rob Huebel;Lily Sullivan as Lindsay McMulligan;Jay Pichardo as Carmella Areola,,https://comedybangbang.fandom.com/wiki/Horse_Meat_Paninis,,1.0,0.500,0.900,FALSE
699,2021-03-29,training,2021,77,regular,Avatar 2,Dulcé Sloan;Shaun Diston as Sprague the Whisperer;Connor Ratliff as James Cameron;Griffin Newman as Jake Sully,,https://comedybangbang.fandom.com/wiki/Avatar_2:_ACABatar,,1.0,0.500,0.900,FALSE
700,2021-04-05,training,2021,119,regular,Plan One,"Jason Mantzoukas;Andy Daly as Byron Denniston, Dalton Wilcox, August Lindt, and Hot Dog",,https://comedybangbang.fandom.com/wiki/Plan_One:_The_Scrooge_Gang,4,1.0,0.500,0.900,TRUE
701,2021-04-12,training,2021,77,regular,Promo Code SPORTS,Jamie Lee;Carl Tart as Italiano Jones;Ego Nwodim as Entrée PeeE Neur;Jon Gabrus as Geoff;Ben Rodgers as Jeoff,,https://comedybangbang.fandom.com/wiki/Promo_Code_SPORTS,14,1.0,0.500,0.900,TRUE
702,2021-04-19,training,2021,70,regular,Electric Toilet with Dont Stop or Well Die,Paul Rust;Michael Cassady;Matt Gourley as H.R. Giger;Kaitlyn Tanimoto as Mary Jane Kim,,https://comedybangbang.fandom.com/wiki/Electric_Toilet_with_Don%E2%80%99t_Stop_or_We%E2%80%99ll_Die,,1.0,0.500,0.900,FALSE
703,2021-04-26,training,2021,79,regular,Gaines and Gaines,Langston Kerman;Paul F. Tompkins as Original Fig;James Austin Johnson as Donald Trump,,https://comedybangbang.fandom.com/wiki/Gaines_and_Gaines,,1.0,0.500,0.900,FALSE
704,2021-05-03,training,2021,141,anniversary,The 12th Anniversary Show!,Jason Mantzoukas;Manchester Orchestra;Andy Daly as Byron Denniston and Dalton Wilcox;Paul F. Tompkins as The Griz;Jessica McKenna as Margery Kershaw;Tim Baltz as Randy Snutz;Lily Sullivan as Carissa;Shaun Diston as Sprague the Whisperer;Jon Gabrus as Gino Lombardo;Carl Tart as Charles Barkley;Dan Lippert as Rabbi Bill Walton;Ego Nwodim as Charlotte Hornette,,https://comedybangbang.fandom.com/wiki/The_12th_Anniversary_Show!,2,1.0,0.500,0.900,TRUE
705,2021-05-10,training,2021,74,regular,Better Call Bed Bath & Beyond,Bob Odenkirk;Lily Sullivan as Francesca Bolognese;Griffin Newman as Skints McGlinty,,https://comedybangbang.fandom.com/wiki/Better_Call_Bed_Bath_%26_Beyond,9,1.0,0.500,0.900,TRUE
706,2021-05-17,training,2021,73,regular,Mind Google,J. B. Smoove;Carl Tart as O. J. Simpson;Will Hines as Gary the Robot,,https://comedybangbang.fandom.com/wiki/Mind_Google,,1.0,0.500,0.900,FALSE
707,2021-05-24,training,2021,86,regular,6 Foot Long Sticks,"Paul F. Tompkins as Lavinia Marsh Caruthers aka Shevel Knievel, Little Joe Bardi, The Big Dammit Man, and Gavins Friend;Dan Lippert as Mark Patsy and Big Charlie Bardi;Monika Smith as Bob Parks",,https://comedybangbang.fandom.com/wiki/6_Foot_Long_Sticks,,1.0,0.500,0.900,FALSE
708,2021-05-31,training,2021,86,regular,Common Slaw,Nikki Glaser;Zach Reino as Gareth Cloakman;Zac Oyama as Mr. Camp,,https://comedybangbang.fandom.com/wiki/Common_Slaw,,1.0,0.500,0.900,FALSE
709,2021-06-07,training,2021,78,regular,Spragues Survivor,Jon Gabrus as Gino Lombardo;Shaun Diston as Sprague the Whisperer;Will Hines as Andy Manders and Morpheus the Dream Lord;Mike Hanford as Zoobi Condarino and John Lennon,,https://comedybangbang.fandom.com/wiki/Sprague%27s_Survivor,6,1.0,0.500,0.900,TRUE
710,2021-06-14,training,2021,69,regular,A Trio of Duos,Sparks;Edgar Wright;Ben Rodgers as Jack Furz;Matt Apodaca as Buck Tango,,https://comedybangbang.fandom.com/wiki/A_Trio_of_Duos,,1.0,0.500,0.900,FALSE
711,2021-06-21,training,2021,73,regular,The Heimlich B-Side,Patton Oswalt;Meredith Salenger;Drew Tarver as Henry Heimlich;Betsy Sodaro as Little Debbie,,https://comedybangbang.fandom.com/wiki/The_Heimlich_B-Side,,1.0,0.500,0.900,FALSE
712,2021-06-28,training,2021,84,regular,Tides Anonymous,Max Silvestri;Paul F. Tompkins as Burnt Millipede;Nicole Parker as Joan Pedestrian;Jacquis Neal as Bishop R.L. Bakes,,https://comedybangbang.fandom.com/wiki/Tides_Anonymous,,1.0,0.500,0.900,FALSE
713,2021-07-05,training,2021,75,regular,3 Time Pizzas and Goose Liver Pate,Mike Mitchell;Neil Campbell as Maxwell Keeper;Carl Tart as Cleotis Martholobew;Jessica Jean Jardine as Wolfgang Puck,,https://comedybangbang.fandom.com/wiki/3_Time_Pizzas_and_Goose_Liver_Pate,,1.0,0.500,0.900,FALSE
714,2021-07-12,training,2021,72,regular,Twilight 2,Ziwe;Ryan Rosenberg as Coach Billips;Jessica McKenna as Chrysanthemum Trummers,,https://comedybangbang.fandom.com/wiki/Twilight_2:_Top_Chef,,1.0,0.500,0.900,FALSE
715,2021-07-19,training,2021,83,regular,Ho No Dew Didn’t,Haley Joel Osment;Shaun Diston as Mike Ruby;Joe Wengert as JP Fossord;Raiza Licea as Juslani Marilyn,,https://comedybangbang.fandom.com/wiki/Ho_No_Dew_Didn%27t,,1.0,0.500,0.900,FALSE
716,2021-07-26,training,2021,88,regular,Meemaw and Them,Casey Wilson;Paul F. Tompkins as Eddie Lee Capers;Katie Rich as Connie Depandi,,https://comedybangbang.fandom.com/wiki/Meemaw_and_Them,15,1.0,0.500,0.900,TRUE
717,2021-08-02,training,2021,78,regular,Tighten Those Nuts,Felicia Day;Janet Varney;Matt Apodaca as The Great Magna;Holly Prazoff as Mary Lisa,,https://comedybangbang.fandom.com/wiki/Tighten_Those_Nuts,,1.0,0.500,0.900,FALSE
718,2021-08-09,training,2021,81,regular,"Hey, Where is Everybody?",Tawny Newsome as herself and Billa Beth;Jack Quaid as himself and Thurl Ravenscroft;Ryan Gaul as Darryl Who,,"https://comedybangbang.fandom.com/wiki/Hey,_Where_is_Everybody%3F",,1.0,0.500,0.900,FALSE
719,2021-08-16,training,2021,81,regular,Give It To Gilli!,Gillian Jacobs;Will Hines as Henry Sames;Dan Lippert as Bill Walton and R. L. Stine,,https://comedybangbang.fandom.com/wiki/Give_It_To_Gilli!,13,1.0,0.500,0.900,TRUE
720,2021-08-23,training,2021,85,regular,Rita Rasvegas,Hannah Einbinder;Monika Smith as Baby Boy Boy;Jacob Wysocki as Tommy the Green Power Ranger,,https://comedybangbang.fandom.com/wiki/Rita_Rasvegas,,1.0,0.500,0.900,FALSE
721,2021-08-30,training,2021,86,regular,Passion of the Pasta,Phoebe Bridgers;Ego Nwodim as Pastor Pasta;Drew Tarver as Fred Head,,https://comedybangbang.fandom.com/wiki/Passion_of_the_Pasta,11,1.0,0.500,0.900,TRUE
722,2021-09-06,training,2021,74,regular,Cowdy Partner,Andy Samberg;Ryan Rosenberg as Dusty;Neil Campbell as The Answer Seeker,,https://comedybangbang.fandom.com/wiki/Cowdy_Partner,,1.0,0.500,0.900,FALSE
723,2021-09-13,training,2021,83,regular,Bell Biv DeVito,Kristian Bruun;Paul F. Tompkins as Lorenzo Borgia and The Ghost of Stan Lee;Suzi Barrett as Lane Driver,,https://comedybangbang.fandom.com/wiki/Bell_Biv_DeVito,,1.0,0.500,0.900,FALSE
724,2021-09-20,training,2021,85,regular,Four Super Producers,Ike Barinholtz as himself and Gary Filipowski;Katie Rich as herself and Marge Filipowski;Shaun Diston as Sprague the Whisperer,,https://comedybangbang.fandom.com/wiki/Four_Super_Producers,,1.0,0.500,0.900,FALSE
725,2021-09-27,training,2021,117,regular,Blitzen DOnofrio,Jason Mantzoukas;Andy Daly as Dalton Wilcox;Tim Baltz as Darren Matichek,,https://comedybangbang.fandom.com/wiki/Blitzen_D%27Onofrio,8,1.0,0.500,0.900,TRUE
726,2021-10-04,training,2021,96,regular,Church of Commercials,Sasheer Zamata as herself and Dina the Dinosaur;Lily Sullivan as Harper L. Cosmopolitan;Carl Tart as Reverend Good Feeling,,https://comedybangbang.fandom.com/wiki/Church_of_Commercials,,1.0,0.500,0.900,FALSE
727,2021-10-11,training,2021,98,regular,Zig Zag Lights,Vanessa Bayer;Will Hines as Brent Finley;Edgar Momplaisir as Mack Attack,,https://comedybangbang.fandom.com/wiki/Zig_Zag_Lights,,1.0,0.500,0.900,FALSE
728,2021-10-18,training,2021,89,regular,Phoebing for Some Phoebes,Jon Gabrus as Gino Lombardo;Phoebe Robinson;Paul F. Tompkins as Kevin Attenborough;Casey Feigh as Officer Dreary,,https://comedybangbang.fandom.com/wiki/Phoebing_for_Some_Phoebes,7,1.0,0.500,0.900,TRUE
